‚”,ŽíX,ŽíY
0,0.4,0.4
0.01,0.396861,0.396054
0.02,0.393841,0.392213
0.03,0.390935,0.388474
0.04,0.388137,0.384832
0.05,0.385443,0.381283
0.06,0.382849,0.377823
0.07,0.38035,0.374448
0.08,0.377942,0.371156
0.09,0.375622,0.367943
0.1,0.373385,0.364805
0.11,0.371229,0.361741
0.12,0.369151,0.358747
0.13,0.367146,0.355821
0.14,0.365213,0.352959
0.15,0.363348,0.350161
0.16,0.36155,0.347423
0.17,0.359815,0.344743
0.18,0.358141,0.34212
0.19,0.356526,0.339551
0.2,0.354968,0.337035
0.21,0.353465,0.334569
0.22,0.352015,0.332152
0.23,0.350616,0.329782
0.24,0.349267,0.327459
0.25,0.347965,0.325179
0.26,0.346709,0.322943
0.27,0.345498,0.320748
0.28,0.344329,0.318593
0.29,0.343203,0.316477
0.3,0.342117,0.314398
0.31,0.34107,0.312356
0.32,0.34006,0.31035
0.33,0.339088,0.308378
0.34,0.338151,0.306439
0.35,0.337248,0.304532
0.36,0.336379,0.302657
0.37,0.335542,0.300812
0.38,0.334737,0.298997
0.39,0.333962,0.297211
0.4,0.333217,0.295452
0.41,0.3325,0.29372
0.42,0.331812,0.292015
0.43,0.331151,0.290336
0.44,0.330516,0.288681
0.45,0.329907,0.287051
0.46,0.329323,0.285444
0.47,0.328763,0.28386
0.48,0.328226,0.282298
0.49,0.327713,0.280758
0.5,0.327222,0.279239
0.51,0.326753,0.277741
0.52,0.326306,0.276263
0.53,0.325878,0.274804
0.54,0.325471,0.273365
0.55,0.325084,0.271944
0.56,0.324716,0.270541
0.57,0.324366,0.269156
0.58,0.324035,0.267788
0.59,0.323721,0.266436
0.6,0.323425,0.265101
0.61,0.323145,0.263783
0.62,0.322882,0.262479
0.63,0.322635,0.261191
0.64,0.322403,0.259918
0.65,0.322187,0.258659
0.66,0.321986,0.257414
0.67,0.321799,0.256183
0.68,0.321627,0.254966
0.69,0.321468,0.253762
0.7,0.321323,0.252571
0.71,0.321192,0.251392
0.72,0.321073,0.250226
0.73,0.320967,0.249071
0.74,0.320873,0.247929
0.75,0.320792,0.246798
0.76,0.320722,0.245678
0.77,0.320664,0.244569
0.78,0.320617,0.243471
0.79,0.320581,0.242384
0.8,0.320556,0.241307
0.81,0.320541,0.240239
0.82,0.320537,0.239182
0.83,0.320543,0.238135
0.84,0.320559,0.237096
0.85,0.320585,0.236068
0.86,0.320619,0.235048
0.87,0.320664,0.234037
0.88,0.320717,0.233035
0.89,0.320779,0.232041
0.9,0.32085,0.231055
0.91,0.320929,0.230078
0.92,0.321017,0.229109
0.93,0.321113,0.228148
0.94,0.321217,0.227194
0.95,0.321328,0.226248
0.96,0.321448,0.22531
0.97,0.321574,0.224378
0.98,0.321708,0.223454
0.99,0.32185,0.222537
1,0.321998,0.221626
1.01,0.322153,0.220723
1.02,0.322315,0.219825
1.03,0.322483,0.218935
1.04,0.322658,0.218051
1.05,0.32284,0.217173
1.06,0.323027,0.216301
1.07,0.323221,0.215435
1.08,0.32342,0.214575
1.09,0.323625,0.213721
1.1,0.323836,0.212872
1.11,0.324053,0.212029
1.12,0.324275,0.211192
1.13,0.324503,0.21036
1.14,0.324735,0.209533
1.15,0.324973,0.208712
1.16,0.325216,0.207895
1.17,0.325464,0.207084
1.18,0.325716,0.206278
1.19,0.325974,0.205476
1.2,0.326236,0.20468
1.21,0.326502,0.203888
1.22,0.326773,0.2031
1.23,0.327049,0.202317
1.24,0.327328,0.201539
1.25,0.327612,0.200765
1.26,0.3279,0.199996
1.27,0.328192,0.19923
1.28,0.328488,0.198469
1.29,0.328787,0.197713
1.3,0.329091,0.19696
1.31,0.329398,0.196211
1.32,0.329708,0.195466
1.33,0.330022,0.194725
1.34,0.33034,0.193988
1.35,0.330661,0.193255
1.36,0.330985,0.192525
1.37,0.331313,0.191799
1.38,0.331644,0.191077
1.39,0.331978,0.190358
1.4,0.332314,0.189643
1.41,0.332654,0.188931
1.42,0.332997,0.188223
1.43,0.333342,0.187518
1.44,0.333691,0.186816
1.45,0.334042,0.186117
1.46,0.334395,0.185422
1.47,0.334752,0.18473
1.48,0.33511,0.184042
1.49,0.335472,0.183356
1.5,0.335835,0.182673
1.51,0.336201,0.181994
1.52,0.33657,0.181317
1.53,0.33694,0.180643
1.54,0.337313,0.179973
1.55,0.337688,0.179305
1.56,0.338065,0.17864
1.57,0.338444,0.177977
1.58,0.338825,0.177318
1.59,0.339208,0.176661
1.6,0.339593,0.176007
1.61,0.339979,0.175356
1.62,0.340368,0.174707
1.63,0.340758,0.174061
1.64,0.34115,0.173418
1.65,0.341544,0.172777
1.66,0.341939,0.172139
1.67,0.342336,0.171503
1.68,0.342734,0.170869
1.69,0.343134,0.170239
1.7,0.343535,0.16961
1.71,0.343938,0.168984
1.72,0.344342,0.16836
1.73,0.344748,0.167739
1.74,0.345154,0.16712
1.75,0.345562,0.166503
1.76,0.345971,0.165889
1.77,0.346382,0.165277
1.78,0.346793,0.164667
1.79,0.347206,0.164059
1.8,0.34762,0.163454
1.81,0.348034,0.16285
1.82,0.34845,0.162249
1.83,0.348867,0.16165
1.84,0.349285,0.161053
1.85,0.349703,0.160458
1.86,0.350122,0.159866
1.87,0.350543,0.159275
1.88,0.350964,0.158686
1.89,0.351386,0.1581
1.9,0.351808,0.157515
1.91,0.352232,0.156933
1.92,0.352655,0.156352
1.93,0.35308,0.155774
1.94,0.353505,0.155197
1.95,0.353931,0.154622
1.96,0.354358,0.15405
1.97,0.354785,0.153479
1.98,0.355212,0.15291
1.99,0.35564,0.152343
2,0.356069,0.151778
2.01,0.356498,0.151214
2.02,0.356927,0.150653
2.03,0.357357,0.150093
2.04,0.357787,0.149535
2.05,0.358217,0.148979
2.06,0.358648,0.148425
2.07,0.359079,0.147873
2.08,0.35951,0.147322
2.09,0.359941,0.146773
2.1,0.360373,0.146226
2.11,0.360805,0.14568
2.12,0.361237,0.145137
2.13,0.361669,0.144595
2.14,0.362102,0.144055
2.15,0.362534,0.143516
2.16,0.362967,0.142979
2.17,0.3634,0.142444
2.18,0.363832,0.141911
2.19,0.364265,0.141379
2.2,0.364698,0.140849
2.21,0.365131,0.14032
2.22,0.365563,0.139793
2.23,0.365996,0.139268
2.24,0.366429,0.138745
2.25,0.366861,0.138223
2.26,0.367294,0.137702
2.27,0.367726,0.137184
2.28,0.368158,0.136667
2.29,0.36859,0.136151
2.3,0.369022,0.135637
2.31,0.369454,0.135125
2.32,0.369885,0.134614
2.33,0.370316,0.134105
2.34,0.370747,0.133597
2.35,0.371178,0.133091
2.36,0.371609,0.132586
2.37,0.372039,0.132083
2.38,0.372469,0.131581
2.39,0.372898,0.131081
2.4,0.373328,0.130583
2.41,0.373757,0.130086
2.42,0.374185,0.129591
2.43,0.374613,0.129097
2.44,0.375041,0.128604
2.45,0.375469,0.128113
2.46,0.375896,0.127624
2.47,0.376322,0.127136
2.48,0.376748,0.126649
2.49,0.377174,0.126164
2.5,0.377599,0.125681
2.51,0.378024,0.125199
2.52,0.378448,0.124718
2.53,0.378872,0.124239
2.54,0.379296,0.123761
2.55,0.379718,0.123285
2.56,0.380141,0.12281
2.57,0.380562,0.122337
2.58,0.380983,0.121865
2.59,0.381404,0.121394
2.6,0.381824,0.120925
2.61,0.382244,0.120457
2.62,0.382662,0.119991
2.63,0.383081,0.119526
2.64,0.383498,0.119063
2.65,0.383915,0.118601
2.66,0.384332,0.11814
2.67,0.384747,0.117681
2.68,0.385162,0.117223
2.69,0.385577,0.116767
2.7,0.385991,0.116312
2.71,0.386404,0.115858
2.72,0.386816,0.115406
2.73,0.387228,0.114955
2.74,0.387639,0.114506
2.75,0.388049,0.114058
2.76,0.388459,0.113611
2.77,0.388867,0.113166
2.78,0.389275,0.112722
2.79,0.389683,0.112279
2.8,0.390089,0.111838
2.81,0.390495,0.111398
2.82,0.3909,0.110959
2.83,0.391304,0.110522
2.84,0.391708,0.110086
2.85,0.392111,0.109652
2.86,0.392513,0.109218
2.87,0.392914,0.108787
2.88,0.393314,0.108356
2.89,0.393714,0.107927
2.9,0.394112,0.107499
2.91,0.39451,0.107073
2.92,0.394907,0.106648
2.93,0.395303,0.106224
2.94,0.395699,0.105801
2.95,0.396093,0.10538
2.96,0.396487,0.10496
2.97,0.39688,0.104542
2.98,0.397271,0.104125
2.99,0.397663,0.103709
3,0.398053,0.103294
3.01,0.398442,0.102881
3.02,0.39883,0.102469
3.03,0.399218,0.102058
3.04,0.399604,0.101649
3.05,0.39999,0.101241
3.06,0.400375,0.100834
3.07,0.400759,0.100428
3.08,0.401142,0.100024
3.09,0.401524,0.099621
3.1,0.401905,0.099219
3.11,0.402285,0.098819
3.12,0.402665,0.09842
3.13,0.403043,0.098022
3.14,0.40342,0.097626
3.15,0.403797,0.09723
3.16,0.404173,0.096836
3.17,0.404547,0.096444
3.18,0.404921,0.096052
3.19,0.405293,0.095662
3.2,0.405665,0.095273
3.21,0.406036,0.094885
3.22,0.406406,0.094499
3.23,0.406775,0.094114
3.24,0.407143,0.09373
3.25,0.40751,0.093347
3.26,0.407875,0.092966
3.27,0.40824,0.092586
3.28,0.408604,0.092207
3.29,0.408967,0.091829
3.3,0.409329,0.091453
3.31,0.409691,0.091078
3.32,0.410051,0.090704
3.33,0.41041,0.090331
3.34,0.410768,0.08996
3.35,0.411125,0.08959
3.36,0.411481,0.089221
3.37,0.411836,0.088853
3.38,0.41219,0.088486
3.39,0.412543,0.088121
3.4,0.412895,0.087757
3.41,0.413246,0.087394
3.42,0.413596,0.087032
3.43,0.413945,0.086672
3.44,0.414294,0.086313
3.45,0.414641,0.085954
3.46,0.414987,0.085598
3.47,0.415332,0.085242
3.48,0.415676,0.084888
3.49,0.416019,0.084534
3.5,0.416361,0.084182
3.51,0.416702,0.083832
3.52,0.417041,0.083482
3.53,0.41738,0.083133
3.54,0.417718,0.082786
3.55,0.418055,0.08244
3.56,0.418391,0.082095
3.57,0.418726,0.081752
3.58,0.41906,0.081409
3.59,0.419392,0.081068
3.6,0.419724,0.080728
3.61,0.420055,0.080389
3.62,0.420385,0.080051
3.63,0.420713,0.079714
3.64,0.421041,0.079379
3.65,0.421368,0.079044
3.66,0.421693,0.078711
3.67,0.422018,0.078379
3.68,0.422341,0.078048
3.69,0.422664,0.077719
3.7,0.422985,0.07739
3.71,0.423306,0.077063
3.72,0.423625,0.076737
3.73,0.423944,0.076412
3.74,0.424261,0.076088
3.75,0.424578,0.075765
3.76,0.424893,0.075443
3.77,0.425207,0.075123
3.78,0.425521,0.074803
3.79,0.425833,0.074485
3.8,0.426144,0.074168
3.81,0.426454,0.073852
3.82,0.426764,0.073537
3.83,0.427072,0.073224
3.84,0.427379,0.072911
3.85,0.427685,0.0726
3.86,0.42799,0.072289
3.87,0.428294,0.07198
3.88,0.428597,0.071672
3.89,0.428899,0.071365
3.9,0.429201,0.071059
3.91,0.429501,0.070754
3.92,0.4298,0.07045
3.93,0.430098,0.070148
3.94,0.430395,0.069846
3.95,0.430691,0.069546
3.96,0.430985,0.069247
3.97,0.431279,0.068948
3.98,0.431572,0.068651
3.99,0.431864,0.068355
4,0.432155,0.06806
4.01,0.432445,0.067766
