T,ウサギ,キツネ
0,500,10
0.001217,501,10
0.001353,502,10
0.001431,503,10
0.00244,502,10
0.002885,501,10
0.003706,500,10
0.004928,501,10
0.005508,502,10
0.005894,503,10
0.005902,502,10
0.006258,501,10
0.006358,502,10
0.006979,503,10
0.00716,504,10
0.009166,504,11
0.009445,505,11
0.009541,506,11
0.009959,507,11
0.010039,506,11
0.010443,505,11
0.01052,504,11
0.010887,505,11
0.011772,506,11
0.012956,507,11
0.013569,508,11
0.013665,509,11
0.013764,510,11
0.013792,511,11
0.013801,510,11
0.014026,511,11
0.014668,512,11
0.014841,513,11
0.015639,514,11
0.015788,514,10
0.015985,515,10
0.016441,514,10
0.016594,515,10
0.016751,516,10
0.01719,517,10
0.017422,518,10
0.017525,519,10
0.017632,518,10
0.018015,519,10
0.01807,518,10
0.018887,519,10
0.019008,520,10
0.019066,521,10
0.019123,522,10
0.019751,523,10
0.020167,524,10
0.02017,525,10
0.020209,526,10
0.020223,527,10
0.020608,528,10
0.020784,527,10
0.020993,528,10
0.02133,527,10
0.021727,528,10
0.022022,529,10
0.022201,530,10
0.02254,531,10
0.02259,530,10
0.022615,531,10
0.022784,532,10
0.02303,533,10
0.023251,534,10
0.023353,535,10
0.023821,536,10
0.024372,537,10
0.024629,536,10
0.024686,537,10
0.025347,538,10
0.025414,537,10
0.025594,538,10
0.026134,539,10
0.026499,540,10
0.027798,539,10
0.028161,540,10
0.028723,541,10
0.028948,542,10
0.030373,543,10
0.030893,542,10
0.031132,543,10
0.031274,544,10
0.031667,545,10
0.031761,546,10
0.031856,545,10
0.032102,546,10
0.032673,547,10
0.033107,547,11
0.033194,548,11
0.033465,549,11
0.03362,550,11
0.034159,549,11
0.034508,550,11
0.034888,551,11
0.035823,552,11
0.035842,553,11
0.035916,552,11
0.036136,553,11
0.036299,554,11
0.03651,555,11
0.036512,554,11
0.03654,555,11
0.037613,556,11
0.037698,557,11
0.038424,558,11
0.038735,559,11
0.039226,558,11
0.040046,559,11
0.040048,560,11
0.04007,559,11
0.040388,560,11
0.040421,561,11
0.041192,562,11
0.041491,561,11
0.04156,560,11
0.041634,559,11
0.042388,558,11
0.042416,559,11
0.042801,560,11
0.043511,561,11
0.044161,562,11
0.044217,563,11
0.044689,564,11
0.045046,565,11
0.0452,566,11
0.045478,567,11
0.046132,568,11
0.046136,569,11
0.046231,570,11
0.047133,569,11
0.048212,570,11
0.048702,571,11
0.048897,572,11
0.049512,573,11
0.049833,574,11
0.051316,575,11
0.051447,574,11
0.051603,575,11
0.051827,576,11
0.051844,577,11
0.051974,576,11
0.053051,577,11
0.053094,576,11
0.053201,577,11
0.054471,578,11
0.05478,577,11
0.05484,578,11
0.055511,577,11
0.055626,578,11
0.055907,579,11
0.055915,580,11
0.055982,581,11
0.056264,582,11
