t,ウサギ,キツネ
0,500,10
0.000009,500,9
0.000058,501,9
0.000063,502,9
0.000357,502,10
0.00043,503,10
0.000432,503,9
0.000435,504,9
0.001222,505,9
0.001826,505,10
0.002239,506,10
0.003011,507,10
0.00333,508,10
0.003382,509,10
0.003495,510,10
0.003802,511,10
0.00501,512,10
0.005245,513,10
0.00606,514,10
0.006153,515,10
0.00679,516,10
0.006806,517,10
0.008338,518,10
0.008954,519,10
0.011518,520,10
0.011674,520,9
0.011715,521,9
0.011757,522,9
0.011922,523,9
0.012576,523,10
0.012602,523,11
0.012617,523,12
0.012665,524,12
0.013581,525,12
0.013826,526,12
0.014061,527,12
0.014389,528,12
0.014657,529,12
0.015115,529,13
0.015277,529,14
0.015386,530,14
0.015911,531,14
0.01593,532,14
0.015989,533,14
0.016079,534,14
0.016179,535,14
0.016341,536,14
0.016749,537,14
0.016769,537,15
0.016988,538,15
0.017116,539,15
0.017381,539,14
0.01924,540,14
0.020464,541,14
0.020699,542,14
0.020944,543,14
0.021228,544,14
0.021397,545,14
0.021576,546,14
0.021966,547,14
0.022264,548,14
0.022439,549,14
0.022682,550,14
0.023229,551,14
0.023397,551,15
0.023695,552,15
0.024221,553,15
0.024225,554,15
0.024551,555,15
0.024552,556,15
0.024903,557,15
0.025717,558,15
0.025856,559,15
0.026341,560,15
0.026419,561,15
0.026497,561,16
0.026668,562,16
0.026959,563,16
0.027625,564,16
0.0278,564,15
0.027976,565,15
0.027999,566,15
0.028214,567,15
0.028303,568,15
0.028896,569,15
0.029177,570,15
0.029511,571,15
0.029534,572,15
0.029865,572,16
0.030567,573,16
0.030791,574,16
0.030812,574,17
0.030915,574,18
0.031128,574,19
0.032036,575,19
0.032233,576,19
0.03372,577,19
0.034842,577,20
0.034856,577,21
0.035069,577,20
0.035249,578,20
0.035288,579,20
0.035296,579,19
0.035401,580,19
0.035443,581,19
0.035457,582,19
0.035673,583,19
0.035817,583,20
0.035942,584,20
0.035988,585,20
0.036093,585,21
0.036505,585,22
0.036687,586,22
0.037128,586,23
0.037175,587,23
0.03718,588,23
0.037182,589,23
0.037257,589,24
0.037375,589,25
0.037841,589,26
0.037848,589,27
0.038298,590,27
0.038481,591,27
0.038562,591,28
0.038683,592,28
0.039122,592,27
0.039374,593,27
0.039926,594,27
0.039933,594,28
0.040052,594,29
0.040318,595,29
0.040521,595,30
0.040659,596,30
0.040662,597,30
0.040797,597,31
0.041071,598,31
0.041106,598,30
0.04119,598,31
0.041687,598,32
0.041872,598,33
0.04218,598,34
0.042259,599,34
0.042543,600,34
0.042618,601,34
0.042658,602,34
0.043116,603,34
0.043282,603,35
0.043301,603,36
0.043448,604,36
0.043729,604,37
0.043746,604,36
0.044061,604,37
0.044598,604,36
0.044885,604,37
0.044902,605,37
0.044902,605,36
0.045004,605,37
0.045177,605,38
0.045292,606,38
0.045361,607,38
0.045397,608,38
0.045688,609,38
0.045963,609,39
0.045989,609,40
0.046092,610,40
0.046137,611,40
0.046171,611,41
0.04647,612,41
0.046566,612,42
0.046936,612,43
0.047123,613,43
0.047141,613,42
0.047478,614,42
0.047489,615,42
0.047721,616,42
0.047728,616,43
0.048044,617,43
0.048497,618,43
0.048594,618,44
0.048633,618,43
0.048635,618,42
0.048736,618,41
0.048961,619,41
0.04903,619,42
0.049065,619,43
0.049251,620,43
0.049306,620,44
0.049363,621,44
0.049411,621,45
0.04951,621,46
0.049679,621,47
0.049791,622,47
