t,s,i,r
0,10000,1,0
132.759367,9999,2,0
133.944194,9998,3,0
155.085034,9997,4,0
169.329661,9996,5,0
191.901074,9995,6,0
204.212346,9994,7,0
205.357445,9993,8,0
222.774487,9992,9,0
228.886782,9991,10,0
239.772809,9990,11,0
243.778388,9989,12,0
289.299121,9989,11,1
299.756205,9988,12,1
301.282729,9987,13,1
302.544827,9986,14,1
308.566056,9985,15,1
313.169315,9984,16,1
314.942214,9984,15,2
321.82874,9983,16,2
323.286504,9982,17,2
332.137192,9981,18,2
344.103021,9980,19,2
345.012702,9979,20,2
346.133777,9978,21,2
352.942672,9977,22,2
359.338327,9976,23,2
360.647541,9975,24,2
361.249845,9974,25,2
363.006215,9973,26,2
364.032051,9972,27,2
365.158627,9971,28,2
365.668214,9971,27,3
367.047499,9971,26,4
367.417139,9970,27,4
368.354549,9969,28,4
368.860861,9968,29,4
370.149129,9967,30,4
370.960389,9966,31,4
371.004894,9965,32,4
381.929773,9964,33,4
390.138547,9963,34,4
390.818833,9962,35,4
391.213199,9961,36,4
392.367979,9960,37,4
393.796923,9959,38,4
396.802356,9958,39,4
398.951744,9957,40,4
402.246566,9956,41,4
403.696966,9955,42,4
406.455053,9954,43,4
407.757752,9953,44,4
407.974706,9952,45,4
410.494002,9951,46,4
413.606294,9950,47,4
414.496002,9949,48,4
415.386072,9948,49,4
415.821018,9947,50,4
415.944531,9946,51,4
421.689767,9945,52,4
421.963684,9944,53,4
424.662613,9943,54,4
424.984143,9942,55,4
425.172811,9941,56,4
428.63296,9940,57,4
429.051942,9939,58,4
429.114497,9938,59,4
429.210426,9937,60,4
429.531957,9936,61,4
430.106823,9935,62,4
431.275455,9934,63,4
432.157577,9934,62,5
436.12451,9933,63,5
438.637471,9932,64,5
438.764284,9931,65,5
439.089426,9930,66,5
439.380869,9929,67,5
439.879202,9928,68,5
444.208485,9927,69,5
444.612922,9926,70,5
444.795157,9925,71,5
447.050137,9924,72,5
448.554525,9923,73,5
448.91313,9922,74,5
450.551463,9922,73,6
451.453279,9921,74,6
451.713429,9920,75,6
456.123184,9920,74,7
456.756352,9919,75,7
456.773918,9918,76,7
458.574635,9917,77,7
460.594793,9916,78,7
461.251418,9915,79,7
463.25773,9915,78,8
463.410734,9914,79,8
469.763272,9914,78,9
470.307339,9913,79,9
471.050145,9912,80,9
471.091651,9911,81,9
472.436016,9910,82,9
472.7822,9909,83,9
473.841592,9908,84,9
473.988244,9907,85,9
474.081826,9906,86,9
475.536678,9905,87,9
479.331577,9904,88,9
479.778834,9903,89,9
480.004461,9902,90,9
480.010138,9901,91,9
480.173099,9900,92,9
480.726847,9899,93,9
481.926277,9898,94,9
483.028596,9897,95,9
483.437385,9896,96,9
483.576687,9895,97,9
484.309326,9894,98,9
485.040901,9893,99,9
487.411501,9892,100,9
488.014185,9891,101,9
488.505284,9890,102,9
488.649914,9889,103,9
490.383574,9888,104,9
491.558032,9888,103,10
491.778476,9887,104,10
492.075421,9887,103,11
492.132048,9886,104,11
492.521954,9885,105,11
492.775844,9885,104,12
493.145317,9884,105,12
493.916578,9883,106,12
495.243013,9882,107,12
495.664907,9881,108,12
496.315532,9880,109,12
497.303252,9879,110,12
497.392013,9878,111,12
497.457522,9877,112,12
497.47017,9876,113,12
498.758459,9875,114,12
499.46669,9875,113,13
499.67592,9874,114,13
501.211417,9873,115,13
501.501665,9872,116,13
501.601515,9871,117,13
504.523366,9870,118,13
506.166543,9869,119,13
506.450299,9868,120,13
506.963407,9867,121,13
507.256282,9867,120,14
507.695108,9866,121,14
507.817814,9865,122,14
508.415841,9864,123,14
509.156429,9863,124,14
511.689098,9862,125,14
513.266037,9861,126,14
513.489556,9860,127,14
513.512348,9859,128,14
514.015768,9858,129,14
514.654788,9857,130,14
515.365201,9856,131,14
516.162698,9855,132,14
516.17527,9854,133,14
516.793078,9853,134,14
517.237415,9852,135,14
518.679665,9851,136,14
519.404207,9850,137,14
519.866811,9849,138,14
519.939506,9848,139,14
520.018192,9847,140,14
521.242108,9847,139,15
521.378087,9846,140,15
522.671245,9845,141,15
524.258943,9844,142,15
524.456969,9843,143,15
525.056126,9842,144,15
525.557032,9841,145,15
526.193044,9841,144,16
526.985954,9841,143,17
527.412781,9840,144,17
528.171187,9839,145,17
528.224887,9838,146,17
529.333959,9837,147,17
530.788958,9836,148,17
531.701938,9835,149,17
531.723011,9834,150,17
532.47608,9833,151,17
533.293474,9832,152,17
533.412559,9831,153,17
533.993181,9830,154,17
534.268882,9829,155,17
537.61596,9829,154,18
537.754788,9828,155,18
538.268565,9827,156,18
538.346574,9826,157,18
538.350881,9825,158,18
539.310867,9824,159,18
539.615785,9823,160,18
540.531556,9822,161,18
540.926324,9821,162,18
541.100933,9820,163,18
541.361433,9819,164,18
542.361663,9818,165,18
542.798145,9817,166,18
543.554815,9817,165,19
543.811012,9817,164,20
543.994907,9817,163,21
544.270839,9816,164,21
544.958083,9815,165,21
545.682216,9814,166,21
546.260441,9813,167,21
546.348475,9812,168,21
546.469261,9811,169,21
547.387332,9810,170,21
547.925756,9809,171,21
548.19226,9808,172,21
548.206534,9807,173,21
548.646449,9807,172,22
549.321101,9806,173,22
549.770315,9805,174,22
550.619465,9804,175,22
551.60634,9803,176,22
552.187211,9802,177,22
552.420902,9801,178,22
553.353351,9800,179,22
554.076915,9799,180,22
555.181885,9799,179,23
556.194891,9798,180,23
557.967055,9797,181,23
558.611278,9796,182,23
559.09314,9796,181,24
559.629426,9795,182,24
559.751532,9794,183,24
560.126502,9793,184,24
560.165219,9792,185,24
560.877168,9791,186,24
561.056938,9790,187,24
561.17229,9789,188,24
561.453431,9788,189,24
561.773198,9788,188,25
561.8307,9788,187,26
562.649541,9787,188,26
563.182475,9786,189,26
563.216777,9785,190,26
564.594736,9785,189,27
564.597906,9784,190,27
564.73911,9783,191,27
564.926573,9782,192,27
565.509249,9781,193,27
565.997052,9780,194,27
566.882143,9779,195,27
566.892416,9778,196,27
568.223739,9777,197,27
568.262025,9776,198,27
568.811525,9775,199,27
568.956602,9775,198,28
569.644196,9774,199,28
569.97401,9773,200,28
569.984235,9772,201,28
570.491144,9771,202,28
570.979482,9771,201,29
570.999533,9770,202,29
571.143729,9769,203,29
571.38683,9768,204,29
571.426174,9767,205,29
572.061813,9766,206,29
572.148216,9765,207,29
572.267924,9764,208,29
572.31879,9763,209,29
572.672777,9762,210,29
573.320636,9761,211,29
573.430188,9760,212,29
574.065394,9759,213,29
575.249585,9759,212,30
575.363645,9759,211,31
575.684422,9758,212,31
575.885633,9757,213,31
576.345212,9756,214,31
576.75236,9756,213,32
577.777677,9755,214,32
578.263335,9754,215,32
578.355522,9753,216,32
578.605382,9752,217,32
578.724919,9751,218,32
579.824513,9751,217,33
579.910454,9750,218,33
580.017065,9749,219,33
580.703647,9749,218,34
581.33114,9748,219,34
581.767642,9747,220,34
582.37786,9746,221,34
582.630433,9745,222,34
582.655815,9744,223,34
582.712935,9743,224,34
582.945862,9742,225,34
583.511319,9741,226,34
583.799448,9740,227,34
584.350275,9739,228,34
584.457646,9738,229,34
585.269933,9737,230,34
585.373459,9736,231,34
585.375965,9735,232,34
586.05956,9734,233,34
586.293545,9733,234,34
586.370447,9732,235,34
586.79156,9731,236,34
586.947165,9730,237,34
587.069573,9729,238,34
587.284692,9728,239,34
587.390366,9727,240,34
587.436226,9726,241,34
588.171712,9725,242,34
588.322568,9724,243,34
588.727152,9724,242,35
588.896954,9723,243,35
589.713209,9722,244,35
590.033989,9721,245,35
590.314491,9720,246,35
590.615443,9719,247,35
590.913983,9718,248,35
590.950184,9717,249,35
591.181923,9716,250,35
591.851503,9716,249,36
592.348834,9715,250,36
593.12364,9714,251,36
593.212488,9714,250,37
593.321662,9713,251,37
593.363621,9712,252,37
593.707776,9711,253,37
594.100772,9710,254,37
594.783785,9709,255,37
594.800839,9708,256,37
594.893901,9707,257,37
595.324921,9706,258,37
595.67419,9705,259,37
595.910888,9704,260,37
596.064204,9704,259,38
596.072466,9703,260,38
596.271385,9702,261,38
596.590465,9701,262,38
596.873564,9700,263,38
597.373939,9699,264,38
597.769414,9698,265,38
597.931013,9698,264,39
598.2018,9697,265,39
599.219387,9696,266,39
600.213101,9695,267,39
600.242285,9694,268,39
600.315892,9693,269,39
