,ê∂éYé“,àÍéüè¡îÔé“,ìÒéüè¡îÔé“
0,1,0.5,0.1
1,1.090773,1.293443,0.107845
2,0.416953,2.649177,0.17458
3,0.046244,2.896615,0.344525
4,0.006573,2.295888,0.649205
5,0.002928,1.41413,1.029436
6,0.004852,0.621834,1.203401
7,0.019434,0.232494,1.01254
8,0.106776,0.106891,0.709945
9,0.528443,0.082438,0.468472
10,1.3642,0.139917,0.312758
11,1.691041,0.392093,0.234258
12,1.390615,1.181328,0.23849
13,0.548206,2.584613,0.375863
14,0.071843,2.713157,0.731088
15,0.018515,1.688251,1.269684
16,0.025006,0.6357,1.565004
17,0.101385,0.188357,1.287578
18,0.487266,0.089681,0.877675
19,1.330122,0.106715,0.580102
20,1.747655,0.243486,0.407569
21,1.635052,0.680931,0.348561
22,1.067003,1.735431,0.432969
23,0.293708,2.613259,0.758511
24,0.069742,1.876058,1.349934
25,0.075659,0.718335,1.759139
26,0.269563,0.207147,1.488004
27,0.948297,0.116044,1.032368
28,1.637522,0.162554,0.706871
29,1.757961,0.360404,0.531429
30,1.513718,0.901268,0.504892
31,0.888402,1.902718,0.685555
32,0.278915,2.218518,1.180989
33,0.151339,1.203027,1.817041
34,0.334556,0.368802,1.854454
35,0.999139,0.163798,1.386907
36,1.640237,0.176506,0.974821
37,1.769771,0.318342,0.728048
38,1.605324,0.696948,0.647579
39,1.15122,1.445893,0.773221
40,0.539405,1.999645,1.204033
41,0.295625,1.346767,1.857257
42,0.497908,0.483902,2.046432
43,1.164978,0.215196,1.624899
44,1.679196,0.203698,1.179714
45,1.77045,0.315358,0.891438
46,1.638067,0.611747,0.774658
47,1.283704,1.193899,0.860058
48,0.752238,1.748542,1.228788
49,0.45264,1.392628,1.843179
50,0.624785,0.59684,2.137273
51,1.228483,0.268929,1.799665
52,1.676661,0.22523,1.345837
53,1.767689,0.30566,1.023086
54,1.66908,0.5373,0.867268
55,1.390231,1.002692,0.902895
56,0.931537,1.545763,1.195169
57,0.583876,1.449796,1.749552
58,0.664351,0.743,2.15026
59,1.180367,0.332982,1.940537
60,1.63463,0.243437,1.495742
61,1.760454,0.290626,1.139225
62,1.69953,0.467746,0.939947
63,1.482709,0.843137,0.920536
64,1.088308,1.365367,1.132818
65,0.700681,1.493708,1.614013
66,0.664324,0.917785,2.098191
67,1.075919,0.41669,2.051681
68,1.560945,0.265166,1.640364
69,1.744609,0.277149,1.253355
70,1.724412,0.407842,1.008903
71,1.560485,0.708493,0.934206
72,1.227485,1.191138,1.069791
73,0.821019,1.492457,1.468467
74,0.667534,1.101562,1.99206
75,0.955077,0.529047,2.124357
76,1.456991,0.296683,1.781507
77,1.71514,0.269264,1.372535
78,1.740758,0.359343,1.083316
79,1.623571,0.59612,0.954786
80,1.349711,1.023299,1.01903
81,0.9503,1.434615,1.331351
82,0.694279,1.266717,1.847203
83,0.844849,0.675543,2.145782
84,1.325191,0.344391,1.914342
85,1.666398,0.269446,1.499308
86,1.746509,0.322291,1.167774
87,1.672637,0.504215,0.98718
88,1.454276,0.867786,0.985574
89,1.084608,1.326538,1.212884
90,0.75198,1.384306,1.682814
91,0.763548,0.852857,2.107209
92,1.174766,0.415687,2.028424
93,1.592489,0.280023,1.632956
94,1.739336,0.296221,1.264392
95,1.708482,0.430871,1.033574
96,1.540965,0.729988,0.970951
97,1.216194,1.185213,1.117999
98,0.840335,1.433458,1.517521
99,0.721242,1.044514,2.010465
100,1.022713,0.518451,2.108847
101,1.488944,0.30411,1.769628
102,1.715935,0.280789,1.37373
103,1.731603,0.374013,1.094923
104,1.610457,0.612715,0.975189
105,1.337628,1.030312,1.048188
106,0.953099,1.408526,1.365735
107,0.721432,1.222268,1.869203
108,0.88923,0.658036,2.13952
109,1.356014,0.346298,1.901833
110,1.671748,0.276177,1.494981
111,1.7418,0.331644,1.171552
112,1.664019,0.516287,0.997766
113,1.443938,0.878339,1.002949
114,1.079819,1.319944,1.236405
115,0.763217,1.354493,1.704064
116,0.790803,0.831668,2.109353
117,1.20225,0.412983,2.017827
118,1.601415,0.283454,1.625698
119,1.737801,0.302108,1.263336
120,1.703004,0.439376,1.038043
121,1.53294,0.74016,0.980848
122,1.208789,1.188646,1.133656
123,0.842053,1.417444,1.535744
124,0.736361,1.02334,2.018635
125,1.045004,0.51162,2.101936
126,1.500559,0.304988,1.761168
127,1.716935,0.284327,1.369625
128,1.728372,0.379883,1.095428
129,1.604555,0.621207,0.980207
130,1.330111,1.037852,1.058246
131,0.949465,1.403477,1.380216
132,0.728133,1.204521,1.88055
133,0.905502,0.647682,2.137327
134,1.3692,0.344886,1.893515
135,1.675021,0.278009,1.488956
136,1.740285,0.335604,1.169374
